Title,Year,Genre,Rating,Certificate,Directors,Cast,Description,Runtime
Beginner's Luck (2001) ,2001,"Drama, Comedy",4.9,PG-13,"['James Callis', 'Nick Cohen']","['Julie Delpy', 'Steven Berkoff', 'Christopher Cazenove', 'Fenella Fielding', 'Jean-Yves Berteloot', 'James Callis', 'Sacha Grunpeter', 'Rosanna Lowe', 'Sarah Belcher', 'Amelia Lowdell', 'Debbie Chazen', 'Daniel Hart', 'Dominic Coleman', 'Toby Salaman', 'Neil Auster', 'Alexander Armstrong', 'Chris Porter', 'Simon Coates', 'Charlie Teichmann', 'Danielle Tilley', 'Talia Freeman', 'Sarah Tansey', 'Octavia Walters', 'George MacAlister', 'Pandora Christie', 'Andrew Balmforth', 'Brendan Quinn', 'Amarjit Bassan', 'Tina Ling', 'Aileen La Tourette', 'Kristos Kyriacou', 'Biddy Hodson', 'Sam Callis', 'Sam Manners', 'Ashley James', 'Louise Bush', 'Matt Rippy', 'Harriet Evans-Lombe', 'Nathan Willcocks', 'Shadeen', 'Daniel Coonan', 'Nadji Ismet', 'Martin Jarvis', 'John Bennett', 'Michael Shannon', 'Tim Briggs', 'Simon Wilson', 'Nick Cohen', 'Liz Pulver', 'Dallas Smith', 'Joe McFadden', 'Julian Kerridge', 'Daniel Bobroff', 'Michelle Steiner', 'Simon Lester', 'Rita Pulver', 'Chris Preston', 'Florian Girard', 'Christine Taudin', 'Olivier Halin', 'Chloe Angharad', 'Simon Scott', 'Karen Hayley', 'David Cohen', 'Daniel Avner', 'Michael Callis', 'Sophie Callis', 'Georgia Dobbs', 'Ben Entwhistle', 'Sue Lloyd', 'Stephane Malenfant', 'Rafe Spall', 'Helen Veale']","Beginner's Luck: Directed by James Callis, Nick Cohen. With Julie Delpy, Steven Berkoff, Christopher Cazenove, Fenella Fielding. Mark Feinman knows he's going to be big in showbusiness...it's just a matter of time. In a flash of inspiration he decides to tour a Shakespeare play around Europe. Undaunted by his inexperience and lack of organisational skills, he gathers together probably the worst cast of misfits ever assembled. The only thing that unifies Vagabond Theatre Company is that none of them have ever acted in their lives. Their situation is made more painful by the meteoric rise of their rivals, the massively successful, all singing, all dancing (all blonde!) Theatre Company, led by ex-matinee idol Andrew Fontaine. But the arrival of the mysterious and beautiful Anya spurs them on to their London premier at a strip club in Soho, hosted by Magic Bob. After a sublimely disastrous opening in London the young hopefuls flee to Edinburgh and then onto Paris in search of fame, fortune, sexual adventure and a decent meal. Once in the French capital things go from bad to worse resulting in begging, stealing and finally squatting. The hapless wannabes discover their own limits and after much sole-searching take the only true course of action available to them!",84
Spy Game (2001) ,2001,"Action, Crime, Thriller",7.1,UA,['Tony Scott'],"['Robert Redford', 'Brad Pitt', 'Catherine McCormack', 'Stephen Dillane', 'Larry Bryggman', 'Marianne Jean-Baptiste', 'Matthew Marsh', 'Todd Boyce', 'Michael Paul Chan', 'Garrick Hagon', 'Andrew Grainger', 'Bill Buell', 'Colin Stinton', 'Ted Maynard', 'Tom Hodgkins', 'Rufus Wright', 'Demetri Goritsas', 'Quinn Collins', 'Sam Scudder', 'Yann Johnson', 'Pat McGrath', 'Shane Rimmer', 'David Hemmings', 'James Aubrey', 'In-Sook Chappell', 'Benedict Wong', 'Ken Leung', 'Adrian Pang', 'Ho Yi', 'David Cheung', 'Tony Xu', 'Mark Sung', 'David K.S. Tse', 'Logan Wong', 'Hon Ping Tang', 'Daniel Tse', 'Vincent Wang', 'Stuart Milligan', 'Joseph Chanet', 'Eddie Yeoh', 'Freddie Joe Farnsworth', 'Joerg Stadler', 'Zsolt Zágoni', 'Balázs Tardy', 'Pál Oberfrank', 'Géza Schramek', 'Imre Csuja', 'Melinda Völgyi', 'Károly Rékasi', 'Kimberly Paige', 'Iain Smith', 'Gregory Groth', 'Peter Linka', 'Omid Djalili', 'Amidou', 'Nabil Massad', 'Mohamed Picasso', 'Aziz Ait Essahmi', 'Moustapha Moulay', 'Mohamed Quatib', 'Farid Regragui', 'Dale Dye', 'Tim Briggs', 'Frank Nall', 'Ian Porter', 'Charlotte Rampling', 'Ian Boo Khoo', 'Gary Bunn', 'Anita Deutsch', 'James Embree', 'Simon Faulkner', 'Philip Harvey', 'Anne Karam', 'Tibor Kenderesi', 'Tong Lung', 'Andrea Osvárt', 'David Pinkus', 'Wil Röttgen', 'Alex Sabga-Brady', 'Scott Samain', 'Tibor Szervét', 'Chuen Tsou', 'Matthew Walker', 'John Whitby', 'Terrance Ottis Williams']","Spy Game: Directed by Tony Scott. With Robert Redford, Brad Pitt, Catherine McCormack, Stephen Dillane. Retiring CIA agent Nathan Muir recalls his training of Tom Bishop while working against agency politics to free him from his Chinese captors.",126
The Affair of the Necklace (2001) ,2001,"Drama, History, Romance",6.0,R,['Charles Shyer'],"['Hilary Swank', 'Jonathan Pryce', 'Simon Baker', 'Adrien Brody', 'Brian Cox', 'Joely Richardson', 'Christopher Walken', 'Hayden Panettiere', 'Simon Kunz', 'Paul Brooke', 'Peter Eyre', 'Frank McCusker', 'Simon Shackleton', 'Hermione Gulliford', 'Geoffrey Hutchings', 'James Vaughan', 'Jonathan Newth', 'Kristina Bill', 'James Larkin', 'Diana Quick', 'Helen Masters', 'Victoria Shalet', 'Christophe Paou', ""Michel D'Oz"", 'Donna Flandrin', 'Liz Baker', 'Dick Brannick', 'Daisy Bevan', 'Thomas Dodgson-Gates', 'Caroline Loncq', 'Illona Linthwaite', 'Miranda Pleasence', 'John Grillo', 'Mélodie Berenfeld', 'Ben Miles', 'Niky Wardley', 'Bill Thomas', 'Emma Wride', 'Stephen Noonan', 'Emma Davidson', 'William Chubb', 'Hallie Meyers-Shyer', 'Jocelyn Linder', 'John Comer', 'Angus Wright', 'Christopher Logue', 'Cate Fowler', 'Skye McCole Bartusiak', 'Matej Portes', 'Eva Decastelo']","The Affair of the Necklace: Directed by Charles Shyer. With Hilary Swank, Jonathan Pryce, Simon Baker, Adrien Brody. In pre-Revolutionary France, a young aristocratic woman left penniless by the political unrest in the country must avenge her family's fall from grace by scheming to steal a priceless necklace.",118
Waxing Gibbous (2001) ,2001,Drama,5.8,Not Rated,['Jim Fogarty'],"['Janet Kay Baxter', 'Bryan Binko', 'Ryan Bottiglieri', 'Shannon M. Bragger', 'Barry Burkey', 'Ryan Cravotta', 'Beth Cunningham', 'Mauro Divieste', 'Jim Fogarty', 'Erin Grove', 'Michael Hanton', 'Larry Infante', 'Alicia Licavoli', 'Eric Murphy', 'Josh Nuncio', 'James Nutt', 'Charles Parks', 'Elizabeth Schwartz']","Waxing Gibbous: Directed by Jim Fogarty. With Janet Kay Baxter, Bryan Binko, Ryan Bottiglieri, Shannon M. Bragger.",97
Out Cold (2001) ,2001,"Comedy, Sport",6.2,PG-13,"['Brendan Malloy', 'Emmett Malloy']","['Flex Alexander', 'A.J. Cook', 'David Denman', 'Caroline Dhavernas', 'Derek Hamilton', 'Zach Galifianakis', 'Willie Garson', 'David Koechner', 'Thomas Lennon', 'Jason London', 'Lee Majors', 'Victoria Silvstedt', 'Lewis Arquette', 'Todd Richards', 'Rio Tahara', 'Brett Kelly', 'Lee R. Mayes', 'Alexis Glabus', 'Nikki Dodd', 'Fawnia Mondey', 'Holly Eglinton', 'Odessa Munroe', 'Christine Caux', 'Janette Wu', 'Kendall Saunders', 'Karen Robertson', 'Danny Hagge', 'Adam J. Harrington', ""Rob 'Sluggo' Boyce"", 'Scott Heindl', 'Rheta Hutton', 'Jane Sowerby', 'Peter Kawasaki', 'Art Irizawa', 'Wren Roberts', 'Amy Baldwin', 'Lisa Marie Caruk', 'Stryker', 'Jack Johnson', 'Adam Topol', 'Merlo Podlewski', 'Tara Dakides', 'Devun Walsh', 'Javas Lehn', 'Sean Johnson', 'Steve Kahan', 'Sam Bob', 'Richard Donner', 'Hilary Dorst', 'Marny Eng', 'Delicia Lanza', 'Irene Karas Loeper', 'Nikky Smedley', 'Pierre Wolff']","Out Cold: Directed by Brendan Malloy, Emmett Malloy. With Flex Alexander, A.J. Cook, David Denman, Caroline Dhavernas. A snowboarder's plans for his own snowboard park go awry when an ex-girlfriend returns to town.",89
In Camera (2001) ,2001,"Drama, Mystery, Thriller",6.0,PG-13,['James Muir'],"['Jonathan C. Dietrich', 'Mike Downing', 'Mike Forler', 'Janet Green', 'Henry North', ""Colleen O'Brien"", 'Andrew Pifko', 'Steven Pigozzo', 'Richard Walsh-Bowers', 'Trevor Smith-Diggins']","In Camera: Directed by James Muir. With Jonathan C. Dietrich, Mike Downing, Mike Forler, Janet Green.",86
Bollywood Calling (2001) ,2001,"Comedy, Drama, Music",6.3,U,['Nagesh Kukunoor'],"['Pat Cusick', 'Navin Nischol', 'Om Puri', 'Perizaad Zorabian', 'Monique Gabriela Curnen', 'Chet Dixon', 'Elahe Hiptoola', 'Nagesh Kukunoor', 'Mira Nair', 'Pak Daddy']","Bollywood Calling: Directed by Nagesh Kukunoor. With Pat Cusick, Navin Nischol, Om Puri, Perizaad Zorabian. An alcoholic, cancer-ridden American film-maker decides to produce a Bollywood movie.",101
Suicide Run (2001) ,2001,Horror,4.8,R,"['Ash Patino', 'Mike Pickering']","['Gentle Fritz', 'Paul Edsall', 'Robert Olguin', 'Kenny McClure', 'Dusty Calfee', 'Melissa Taylor']","Suicide Run: Directed by Ash Patino, Mike Pickering. With Gentle Fritz, Paul Edsall, Robert Olguin, Kenny McClure. Six friends celebrate the end of high school in a remote cabin in the woods of Colorado. They'll seek an adrenaline high in the form of a ""suicide run"": a night race to the river through the woods to fill a glass of water and return asap.",90
Blind Obsession (2001) ,2001,"Drama, Thriller",4.0,PG-13,['Robert Malenfant'],"['Brad Johnson', 'Megan Gallagher', 'Roxana Zal', 'Leslie Hardy', 'Ken Kercheval', 'Tony Panterra', 'Christopher Kriesa', 'Steve Stapenhorst', 'Phyllis Hamlin', 'Paul Darrigo', 'Zuhair Haddad', 'Krista Talley', 'Svetlana Pravina', 'Joe Conley', 'Jack Skeets Gleeson']","Blind Obsession: Directed by Robert Malenfant. With Brad Johnson, Megan Gallagher, Roxana Zal, Leslie Hardy. Starring Brad Johnson, Megan Gallagher, and Roxana Zal. In recovery after losing his sight on the job, a police officer becomes ensnared in the manipulations of an obsessive woman and her mentally unstable sister.",90
Pretty When You Cry (2001) ,2001,"Crime, Drama, Thriller",4.1,R,['Jack N. Green'],"['Sam Elliott', 'Jamie Kennedy', 'Carlton Elizabeth', 'Michael Cavalieri', 'Lori Heuring', 'Keith David', 'Bridget Ellen', 'Nick Swardson', 'Michael Philip', 'Ancorneil', 'Karen Bailey', 'Jonny Van Okur', 'Ruta Lee', 'Robert Harvey', 'Aaron Zuber', 'Archie Drury', 'Nasser Faris', 'Elisa Benini', 'Peter Allias']","Pretty When You Cry: Directed by Jack N. Green. With Sam Elliott, Jamie Kennedy, Carlton Elizabeth, Michael Cavalieri. A wife is caught in a web of sex and violence.",90
True Blue (2001) ,2001,"Crime, Drama, Thriller",5.2,R,['J.S. Cardone'],"['Tom Berenger', 'Lori Heuring', 'Pamela Gidley', 'Barry Newman', 'Soon-Tek Oh', 'Leo Lee', 'Richard Chevolleau', 'Alec McClure', 'Yanna McIntosh', 'Frederick Flynn', 'Albert Chung', 'Joseph Di Mambro', 'Len Doncheff', 'Jefferson Mappin', 'Shawn Lawrence', 'Angela Asher', 'Alec Stockwell', 'Joshua Peace', 'Diana Reis', 'Silver Kim', 'Angelica Lisk-Hann', 'Barry Flatman', 'Barna Moricz', 'Don Allison', 'LinLyn Lue', 'Jan Filips', 'Mathew Peart', 'Jesse Trajkovski', 'Clipper Miano', 'Peter Loung', 'Anna Starnino', 'Nick Nolan', 'Lisa Ng', 'Pedro Miguel Arce', 'Catherine Taylor-Williams', 'Oscar Hsu', 'Lee Rumohr']","True Blue: Directed by J.S. Cardone. With Tom Berenger, Lori Heuring, Pamela Gidley, Barry Newman. A hand is found in a park pond. Detective Macy investigates the whereabouts of its owner, a young woman, who worked for the mayor. Her cute roomie helps Macy.",101
Dubbed & Dangerous (2001) ,2001,"Action, Adventure, Comedy",6.8,Not Rated,['Ara Paiaya'],"['Ara Paiaya', 'Raquel Paiaya', 'Edwin Pang', 'Waikee Shek', 'Julie Shek', 'Christopher Ramsey', 'John Sleeman', 'Simon Bishop', 'Chris Robb', 'Greame Anelay', 'David Barrack', 'Chris Christie', 'Simon Christie', 'Doug', 'Alan Emmerson', 'Willie Fleming', 'Michael Garden', 'Ian Gore', 'Ray Lee', 'Raymond Lee', 'Naxto', 'Joe Paiaya', 'Phil Parker', 'Euan Ramsey']","Dubbed & Dangerous: Directed by Ara Paiaya. With Ara Paiaya, Raquel Paiaya, Edwin Pang, Waikee Shek. An international terrorist organization plans to take over the world. The Agent is sent out to bring them in, dead or alive.",
Night at the Golden Eagle (2001) ,2001,Drama,5.8,R,['Adam Rifkin'],"['Donnie Montemarano', 'Vinny Argiro', 'Natasha Lyonne', 'Vinnie Jones', 'Ann Magnuson', 'Nicole Jacobs', 'Fayard Nicholas', 'Sam Moore', 'Miles Dougal', 'Badja Djola', 'Kitten Natividad', 'Ron Jeremy', 'Bunny Summers', 'Bill Nowlin', 'Shelly Desai', 'Andrew Abdul-Wahab', 'James Caan', 'Troy Martin', 'Adam Rifkin', 'Hector Atreyu Ruiz', 'Derik Van Derbeken']","Night at the Golden Eagle: Directed by Adam Rifkin. With Donnie Montemarano, Vinny Argiro, Natasha Lyonne, Vinnie Jones. An ex-convict's plans to turn legit go awry.",87
Visions of Sugarplums (2001) ,2001,Comedy,2.6,,['Edward J. Fasulo'],"['Mark W. Hardin', 'Edward J. Fasulo', 'MaryJean Feton', 'Vincent Wares', 'Kevin Joseph', 'Eyde Byrde', 'William Ryder II', 'Josh Smith', 'Julio Torres', 'Eric Weigole', 'Richard Weigle', 'Anthony Bruce']","Visions of Sugarplums: Directed by Edward J. Fasulo. With Mark W. Hardin, Edward J. Fasulo, MaryJean Feton, Vincent Wares. A confused young man, just out of the proverbial gay closet, must choose between his lover of nine months and his ultra-religious parents on Christmas Eve.",
Dalkeith (2001) ,2001,"Comedy, Drama",7.1,,['Leigh Sheehan'],"['Ray Barrett', 'Gus Mercurio', 'Judy Banks', 'Esme Melville', 'Alan Hopgood', 'Marilyn Maguire', 'Geoff Brooks', 'Jacinta Stapleton', 'James Benedict', 'Julie Nihill', 'Gabrielle Leeds', 'Alan Pentland', 'Brenda Addie', 'Andrew Clarke', 'Wendy Strehlow', 'Sally', 'Jill Dunne', 'Adelle Gregory', 'Victor Kazan', 'Andrew Larkins', 'Nance Jeffreys', 'Lillian Goon', 'Margaret Harvey', 'John Stuchbery', 'Ron Hedgcock', 'Les Magee', 'Bob Baker', 'Phyllis Howlett', 'Ray Harris', 'Daisy Black', 'Maria Bessems', 'Dawn Dicker', 'Erma Fidler', 'Ted Gregg', 'Malcolm Lee', 'Marlene Lee', 'Janet Low', 'Barrie McCausland', 'Jean May', ""Betty O'Donnell"", ""Trevor O'Donnell"", ""Billie O'Neill"", 'Dorothy Robson', 'Margaret Solomon', 'Margaret Winkler', 'Sandra Rosenow', 'David Bradshaw', 'Nathan King', 'Tim Carroll', 'David Clark', 'Kristin Coulter', 'Sam Harmer', 'Danielle Humphreys', 'Michelle Langdon', 'Tony Papadopolous', 'Christine Reynolds', 'Brian Reynolds', 'Kristy Van Roosmalen', 'Gary Tait', 'David Annand', 'Fred Fargher', 'Reg Gorman', 'Tom Murphy', 'Jeannette Murphy', 'Tony Horton', 'Wendy McKillop', 'Russell Castley', 'John Bolger', 'Norman Brown', 'Mandy Kennedy', 'Toby-Lee Vermeend', 'Andrew Mylius', 'Diana Preys', 'Rob Testa', 'Joanne Davis', 'David Legge', 'Walter Robson', 'Julian Oldfield', 'Bill Scetrini', 'Libby Stewart', 'Barb Olsen', 'Carla Danaher', 'Louise Pennell', 'Heath Martin', 'Paul Shire', 'Jeremy Bannister', 'Edward Daly', 'Joyce Brown']","Dalkeith: Directed by Leigh Sheehan. With Ray Barrett, Gus Mercurio, Judy Banks, Esme Melville. The story of the residents in the Dalkeith Retirement Home who obtain a greyhound. They name the dog Dalkeith after the home but due to the intervention of one of the residents relatives problems arise.",
The Keyman (2001) ,2001,Drama,4.9,,['Daniel Millican'],"['Adam Baldwin', 'Ellen Locy', 'Tom Wright', 'Georgia Foy', 'Doris Gramm', 'Jerry Haynes', 'Jim Ponds', 'Marcus M. Mauldin', 'Jeff Grays', 'Lexi McConnell', 'Mathew Greer', 'Daniel Millican', 'Lynn Mathis', 'Joe Chatham', 'Gordon Fox', 'Mitchel Musso', 'Melinda Renna', 'Robin McGee', 'Chapman Locke', 'Brad E. Barton', 'Phil Harrington', 'Mary Lyons', 'Max Wilson', 'Erin Millican', 'Jana Brockman', 'Richard Ueckert', 'Elfriede Russell', 'Joe Wilson', 'Silvia Meiss', 'Daphne Gere', 'Jeremy Schwab']","The Keyman: Directed by Daniel Millican. With Adam Baldwin, Ellen Locy, Tom Wright, Georgia Foy. A homeless man searches for a key he has lost, finding redemption along the way.",
Mapmaker (2001) ,2001,Thriller,5.8,,['Johnny Gogan'],"[""Brían F. O'Byrne"", 'Susan Lynch', 'Brendan Coyle', 'Ian McElhinney', 'Oisin Kearney', 'Charlie Bonner', 'Raymond Boyd', 'Des Braiden', 'Anthony Brophy', ""Marti Devaney-O'Hehir"", 'Richard Dormer', 'Prin Duignar', 'Nevan Finegan', 'Joan Fitzpatrick', 'John R. Flanagan', 'Dermot Healy', 'Daragh Heraghty', 'Bill Hickey', 'Marie Jones', 'Donal Kearney', 'Mossie Martin', 'Tom Martin', 'Columb McBride', 'Daniel McCoy', 'Stephen McCoy', 'Pat McGrath', 'Hubert McMorrow', ""Frank O'Sullivan"", 'Ciaran Owens', 'David Pearse', 'Nuala Reilly', 'Michael Roper', 'Pat Shortt', 'Alan Siberry']","Mapmaker: Directed by Johnny Gogan. With Brían F. O'Byrne, Susan Lynch, Brendan Coyle, Ian McElhinney. An imaginative thriller about a mapmaker who uncovers the body of an alleged informer while mapping a border beauty spot in Ireland. As local tensions are stirred by the discovery, the mapmaker realises that the completion of his map holds the key to the mystery of the man's death. In continuing his work, he gets drawn into local hostilities and a dangerous political end game .",
Dead Dogs Lie (2001) ,2001,"Action, Adventure, Comedy",7.6,,['Craig Singer'],"['Tommy Flanagan', 'Sarah Graham Hayes', 'Gary Stretch', 'Peter Greene', 'Stephanie Silk', 'Michael McCormick', 'Eric Tonken', 'Jeff Shore', 'Dean Sansone', 'Del Pentecost', 'Tania Deighton', 'David Fonteno', 'Keith Randolph Smith', 'Victor Mastroianni', 'Torri Singer', 'Peter James', 'Dennis Yeandle', 'Alice B. Saltzman', 'Louie Leonardo', 'Christy Payette', 'Robert Dean Klein', 'Greg Cilmi Jr.', 'Alexis Abdinoor', 'Kathryn Abdinoor', 'Dawvd Alexander', 'Kari Arthurs', 'Tom Bezas', 'Sean Bradforth', 'David Braneky', 'Brandon Brooks', 'Brandon E. Brooks', 'W. Scott Buist', 'Amanda Carday', 'John Correll Jr.', 'David Doucette', 'Lindsey Eagle', 'Nick Gazletti', 'Scott Gerenstein', 'Claudia Gross', 'Derek Gross', 'Charles Harsley', 'Kurt Harsley', 'Lauryn Harsley', 'Adam Hocherman', 'Timothy Jones', 'Charlie Jonsen', 'Bill Kalatsky', 'Mick Kaplan', 'Zack Kaplan', 'William Kozy', 'Lauryn Lagado', 'Jean Lezin', 'Marianne Maltese', 'Janine Naimoli', 'Christie Oakes', 'Stephen Pellettiere', 'Candice Pennella', 'Tara Pesce', 'Jeff Profitt', 'Diane Putman', 'Jarid Putman', 'Karl Putman', 'Makenzie Putman', 'Maureen Rogalski', 'Darlene Sansone', 'Kory Sansone', 'Samantha Sansone', 'Jason Solomen', 'Tobi Stelzer', 'Traci Stelzer', 'Kylee Van Dillen', 'Donna Wilshire', 'Evan Zucarelli']","Dead Dogs Lie: Directed by Craig Singer. With Tommy Flanagan, Sarah Graham Hayes, Gary Stretch, Peter Greene. A pulp-fiction type dark comedy about 3 hitmen who are given a list of places to go. They arrive at the locations on the list and there they must figure out what they need to do.",
Goodbye to You (2001) ,2001,,7.3,,['David Dellecese'],"['Jon Saulmon', 'Devon McArdle', 'Tom Karpe', 'Audrey Hall', 'Bill Egert', 'Brian Wozniak', 'Emily Peterman', 'Alex Leger', 'Jessica Kirby', 'Clare Fitzgerald', 'Christy Sattler', 'Melissa A. Cleary', 'Tania Alvarez', 'Anivile Daniel', 'Daniel Dellecese', 'David Dellecese', 'Casey DePasquale', 'Michael Duignan', 'Robert Elinskas', 'Stephanie Howie', 'Joseph Hyatt', 'Katie Leising', 'Elizabeth Marino', 'Vincent Mazzei', 'Marc Anthony Polizzi', 'Robert Swierczek', 'Lisa Toomey', 'Jason Lauree Wright']","Goodbye to You: Directed by David Dellecese. With Jon Saulmon, Devon McArdle, Tom Karpe, Audrey Hall. Mike DeCarlo and Renee are a teenage / college aged couple whose relationship is on its last legs. When the changes in their young lives and the overbearing presence of Renee's high school classmate, Bryan Morocco, take its toll, the couple splits, leaving Mike broken hearted and unable to accept the end. But with the help of his friends, he's about to realize that the hardest part of love is learning when to walk away.",
